message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_091,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_090,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_048,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_040,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_075,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_005,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_104,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_069,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
msg_107,digest,general,"Error during classification: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-****************HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",0.5,
